term,docID
#هست,241
#هست,206
#هست,206
#هست,527
#هست,1792
#هست,678
#هست,1749
#هست,224
#هست,1745
#هست,224
#هست,472
#هست,429
#هست,224
#هست,228
#هست,1820
#هست,229
#هست,1706
#هست,1701
#هست,236
#هست,700
#هست,1664
#هست,516
#هست,1653
#هست,1653
#هست,1653
#هست,249
#هست,249
#هست,1645
#هست,1637
#هست,1723
#هست,1820
#هست,189
#هست,529
#هست,860
#هست,114
#هست,583
#هست,961
#هست,440
#هست,2012
#هست,123
#هست,123
#هست,2010
#هست,543
#هست,543
#هست,1997
#هست,130
#هست,633
#هست,1975
#هست,436
#هست,1939
#هست,436
#هست,1924
#هست,162
#هست,1915
#هست,533
#هست,170
#هست,654
#هست,657
#هست,1003
#هست,658
#هست,186
#هست,1152
#هست,1635
#هست,1631
#هست,254
#هست,514
#هست,1427
#هست,1419
#هست,1419
#هست,754
#هست,1417
#هست,497
#هست,769
#هست,1345
#هست,343
#هست,777
#هست,1107
#هست,1315
#هست,1303
#هست,1303
#هست,1303
#هست,1303
#هست,1303
#هست,359
#هست,407
#هست,368
#هست,483
#هست,2672
#هست,1198
#هست,1188
#هست,1178
#هست,1178
#هست,1160
#هست,478
#هست,1131
#هست,1427
#هست,26
#هست,1427
#هست,1435
#هست,1620
#هست,1611
#هست,1611
#هست,1607
#هست,1598
#هست,569
#هست,267
#هست,1585
#هست,1585
#هست,1565
#هست,1560
#هست,1559
#هست,726
#هست,1557
#هست,726
#هست,727
#هست,277
#هست,730
#هست,1533
#هست,1531
#هست,1086
#هست,1530
#هست,1513
#هست,1090
#هست,1090
#هست,293
#هست,1497
#هست,574
#هست,1435
#هست,1427
#هست,2043
#هست,1850
#هست,96
#هست,106
#هست,73
#هست,65
#هست,873
#هست,905
#هست,905
#هست,99
#هست,2210
#هست,602
#هست,2248
#هست,2248
#هست,943
#هست,2248
#هست,913
#هست,62
#هست,919
#هست,65
#هست,2089
#هست,62
#هست,107
#هست,2043
#هست,919
#هست,2050
#هست,2136
#هست,560
#هست,875
#هست,443
#هست,443
#هست,617
#هست,2166
#هست,950
#هست,2166
#هست,2340
#هست,2331
#هست,2047
#هست,559
#هست,560
#هست,932
#هست,459
#هست,2166
#هست,2101
&,1917
*,729
*,2567
*,2594
*,2567
++C,1988
++C,1539
++C,1769
++C,618
++c,618
++c,618
+ناموفق,2043
",خاطره‌ای",1787
-,1600
-,867
-,2340
-,449
-,886
-,795
-,867
-,1760
-,1760
-,2357
-,795
-,795
-,795
-,1127
-,1795
-,528
-,528
-,1705
-,690
-,492
-,867
-,416
-,512
-,848
-,416
-,31
-,418
-,2265
-,920
-,453
-,597
-,897
-,2202
-,496
-,920
-,496
-,492
-,867
-,1661
-,920
-,416
-,1147
-,666
-,438
-,567
-,939
-,992
-,99
-,444
-,939
-,441
-,1002
-,441
-,441
-,441
-,438
-ارزیابی,1897
-ازجمله,957
-اقتصاد,369
-به,184
-بگویید,320
-تکرار,65
-جهت‌گیری,1940
-حقوق,369
-حقوق,369
-سر,1157
-صفات,997
-ف,2357
-فقه,369
-ماریل…,1285
-مانند,1969
-مفاهیم,2421
-مفاهیم,2419
-منشی,113
-موقتا-,184
"-هوا,-چگونه",490
-و,113
-ولی,942
-پیاژه-,1212
"-چیست,–",2615
-که,803
-که,2033
-گذشته,478
"-۳,شماره",2357
-…ما,1285
/,365
/,1365
/,1365
/,1340
/,1765
/,365
/,531
/,867
/,2246
/,2338
/,600
/,555
/معرفی,913
;,1276
;,709
;,1014
